,AGE,CAP_HIT,DATE,EXTENSION,LENGTH,PLAYER,POS,STRUCTURE,TEAM,TYPE,VALUE,id
285,34,1000000,2016,0,1,Dennis Seidenberg,RD,1-way,NYI,Stnd (UFA),1000000,DennisSeidenberg2016
286,36,700000,2019,0,1,Dennis Seidenberg,RD,1-way,NYI,35+ (UFA),700000,DennisSeidenberg2019
287,28,1000000,2020,0,1,Derek Forbort,LD,1-way,WPG,Stnd (UFA),1000000,DerekForbort2020
288,29,3000000,2021,0,3,Derek Forbort,LD,1-way,BOS,Stnd (UFA),9000000,DerekForbort2021
289,27,650000,2017,0,1,Derek Grant,"LW, C",1-way,ANA,Stnd (UFA),650000,DerekGrant2017
290,28,650000,2018,0,1,Derek Grant,"LW, C",1-way,PIT,Stnd (UFA),650000,DerekGrant2018
291,30,1500000,2020,0,3,Derek Grant,"LW, C",1-way,ANA,Stnd (UFA),4500000,DerekGrant2020
292,25,750000,2012,0,1,Derek Joslin,LD,1-way,VAN,Stnd (UFA),750000,DerekJoslin2012
293,33,1300000,2014,0,3,Derek MacKenzie,"C, LW",1-way,FLA,Stnd (UFA),3900000,DerekMacKenzie2014
294,30,4000000,2013,0,1,Derek Roy,C,1-way,STL,Stnd (UFA),4000000,DerekRoy2013
295,31,1000000,2014,0,1,Derek Roy,C,1-way,NSH,Stnd (UFA),1000000,DerekRoy2014
296,31,3125000,2018,0,3,Derek Ryan,"C, RW",1-way,CGY,Stnd (UFA),9375000,DerekRyan2018
297,34,1250000,2021,0,2,Derek Ryan,"C, RW",1-way,EDM,Stnd (UFA),2500000,DerekRyan2021
298,31,1350000,2021,0,1,Derek Stepan,"C, RW",1-way,CAR,Stnd (UFA),1350000,DerekStepan2021
299,32,750000,2022,0,1,Derek Stepan,"C, RW",1-way,CAR,Stnd (UFA),750000,DerekStepan2022
300,31,1200000,2019,0,1,Derick Brassard,"C, LW",1-way,NYI,Stnd (UFA),1200000,DerickBrassard2019
301,32,1000000,2020,0,1,Derick Brassard,"C, LW",1-way,ARI,Stnd (UFA),1000000,DerickBrassard2020
302,33,825000,2021,0,1,Derick Brassard,"C, LW",1-way,PHI,Stnd (UFA),825000,DerickBrassard2021
303,34,750000,2022,0,1,Derick Brassard,"C, LW",1-way,OTT,Stnd (UFA),750000,DerickBrassard2022
304,32,2916667,2014,0,3,Deryk Engelland,RD,1-way,CGY,Stnd (UFA),8750000,DerykEngelland2014
305,37,700000,2019,0,1,Deryk Engelland,RD,1-way,VGK,35+ (UFA),1500000,DerykEngelland2019
306,24,1300000,2016,0,2,Devante Smith-Pelly,"RW, LW",1-way,NJD,Stnd (UFA),2600000,DevanteSmith-Pelly2016
307,26,750000,2014,0,1,Devin Setoguchi,RW,1-way,CGY,Stnd (UFA),750000,DevinSetoguchi2014
308,28,3200000,2021,0,1,Dmitrij Jaskin,"RW, LW",1-way,ARI,Stnd (UFA),3200000,DmitrijJaskin2021
309,26,4333333,2017,0,3,Dmitry Kulikov,LD/RD,1-way,WPG,Stnd (UFA),13000000,DmitryKulikov2017
310,29,1150000,2020,0,1,Dmitry Kulikov,LD/RD,1-way,NJD,Stnd (UFA),1150000,DmitryKulikov2020
311,30,2250000,2021,0,2,Dmitry Kulikov,LD/RD,1-way,MIN,Stnd (UFA),4500000,DmitryKulikov2021
312,32,1000000,2013,0,1,Dominic Moore,"C, LW",1-way,NYR,Stnd (UFA),1000000,DominicMoore2013
313,33,1500000,2014,0,2,Dominic Moore,"C, LW",1-way,NYR,Stnd (UFA),3000000,DominicMoore2014
314,35,900000,2016,0,1,Dominic Moore,"C, LW",1-way,BOS,35+ (UFA),1000000,DominicMoore2016
315,24,975000,2020,0,1,Dominik Kahun,"LW, RW, C",1-way,EDM,Stnd (UFA),975000,DominikKahun2020
316,26,2500000,2022,0,2,Dominik Kubalik,"LW, RW",1-way,DET,Stnd (UFA),5000000,DominikKubalik2022
317,25,700000,2020,0,1,Dominik Simon,"RW, LW",1-way,CGY,Stnd (UFA),700000,DominikSimon2020
318,28,9000000,2021,0,7,Dougie Hamilton,RD,1-way,NJD,Stnd (UFA),63000000,DougieHamilton2021
319,33,1500000,2013,0,1,Douglas Murray,D,1-way,MTL,Stnd (UFA),1500000,DouglasMurray2013
320,26,700000,2020,0,1,Drake Caggiula,"LW, RW",1-way,ARI,Stnd (UFA),700000,DrakeCaggiula2020
321,26,600000,2017,0,1,Drew Shore,C,1-way,VAN,Stnd (UFA),600000,DrewShore2017
322,31,800000,2017,0,1,Drew Stafford,"RW, LW",1-way,NJD,Stnd (UFA),800000,DrewStafford2017
323,32,810000,2018,0,1,Drew Stafford,"RW, LW",1-way,NJD,Stnd (UFA),810000,DrewStafford2018
324,29,3250000,2012,0,1,Dustin Penner,RW,1-way,LAK,Stnd (UFA),3250000,DustinPenner2012
325,30,2000000,2013,0,1,Dustin Penner,RW,1-way,ANA,Stnd (UFA),2000000,DustinPenner2013
326,32,775000,2022,0,1,Dustin Tokarski,G,1-way,PIT,Stnd (UFA),775000,DustinTokarski2022
327,25,900000,2018,0,2,Dylan DeMelo,RD,1-way,SJS,Stnd (UFA),1800000,DylanDeMelo2018
328,25,3500000,2022,0,1,Dylan Strome,C,1-way,WSH,Stnd (UFA),3500000,DylanStrome2022
329,35,540000,2012,0,1,Eric Boulton,LW,1-way,NYI,35+ (UFA),540000,EricBoulton2012
330,38,575000,2015,0,1,Eric Boulton,LW,1-way,NYI,35+ (UFA),675000,EricBoulton2015
331,26,1800000,2022,0,2,Eric Comrie,G,1-way,BUF,Stnd (UFA),3600000,EricComrie2022
332,27,600000,2013,0,1,Eric Fehr,"C, RW",1-way,WSH,Stnd (UFA),600000,EricFehr2013
333,29,2000000,2015,0,3,Eric Fehr,"C, RW",1-way,PIT,Stnd (UFA),6000000,EricFehr2015
334,32,1000000,2018,0,1,Eric Fehr,"C, RW",1-way,MIN,Stnd (UFA),1000000,EricFehr2018
335,30,2500000,2013,0,4,Eric Nystrom,"LW, RW",1-way,NSH,Stnd (UFA),10000000,EricNystrom2013
336,31,3500000,2016,0,3,Eric Staal,C,1-way,MIN,Stnd (UFA),10500000,EricStaal2016
